HomeTeam,AwayTeam,MeanGoalsHome,MeanShotsOnTargetHome,MeanGoalsAway,MeanShotsOnTargetAway,HomeTeam_FTR_Mode,AwayTeam_FTR_Mode,HomeTeamWinStreak,AwayTeamWinStreak,HomeTeamLossStreak,AwayTeamLossStreak
Kortrijk,Cercle Brugge,1.466403162055336,4.7094017094017095,0.986013986013986,3.9320388349514563,"('Kortrijk', 'H')","('Cercle Brugge', 'H')",5,3,7,14
St Truiden,Mouscron,1.3624595469255663,4.38135593220339,1.1132075471698113,3.819672131147541,"('St Truiden', 'H')","('Mouscron', 'H')",5,2,4,10
Antwerp,Oostende,1.6761363636363635,5.194915254237288,0.9939024390243902,4.073684210526316,"('Antwerp', 'H')","('Oostende', 'H')",8,3,4,13
Club Brugge,Genk,2.306451612903226,6.5210084033613445,1.5148247978436657,4.9576271186440675,"('Club Brugge', 'H')","('Genk', 'H')",21,7,2,8
Waregem,Beerschot VA,1.6418439716312057,4.568421052631579,1.2162162162162162,3.8055555555555554,"('Waregem', 'H')","('Beerschot VA', 'H')",9,4,5,13
Standard,Charleroi,1.814516129032258,5.102564102564102,1.1497175141242937,4.461538461538462,"('Standard', 'H')","('Charleroi', 'H')",12,4,4,9
Oud-Heverlee Leuven,Gent,1.544776119402985,4.712328767123288,1.462162162162162,5.237288135593221,"('Oud-Heverlee Leuven', 'H')","('Gent', 'A')",4,6,3,4
Eupen,Antwerp,1.2657342657342658,4.168141592920354,1.1875,4.319327731092437,"('Eupen', 'A')","('Antwerp', 'H')",2,6,5,7
Waasland-Beveren,Mechelen,1.1470588235294117,4.950819672131147,1.1464285714285714,4.108910891089109,"('Waasland-Beveren', 'A')","('Mechelen', 'H')",3,5,4,6
Mouscron,Anderlecht,1.669811320754717,4.193548387096774,1.628032345013477,4.3418803418803416,"('Mouscron', 'H')","('Anderlecht', 'A')",9,12,4,5
Beerschot VA,Kortrijk,1.4054054054054055,4.305555555555555,1.0317460317460319,3.8448275862068964,"('Beerschot VA', 'A')","('Kortrijk', 'H')",5,3,6,7
Genk,Waregem,1.946236559139785,5.823529411764706,1.2826855123674912,4.145833333333333,"('Genk', 'H')","('Waregem', 'H')",8,6,5,6
Charleroi,Oud-Heverlee Leuven,1.3746478873239436,4.939130434782609,1.1940298507462686,4.324324324324325,"('Charleroi', 'H')","('Oud-Heverlee Leuven', 'H')",9,2,4,9
Gent,St Truiden,1.8629032258064515,5.890756302521009,1.0224358974358974,3.73109243697479,"('Gent', 'H')","('St Truiden', 'H')",12,3,4,11
Cercle Brugge,Club Brugge,1.408450704225352,4.872549019607843,1.6978609625668448,5.38135593220339,"('Cercle Brugge', 'H')","('Club Brugge', 'A')",6,7,9,4
