1,1,B1,10/11,2010-10-15,,27,7,2,3,A,1,3,A
1,1,B1,10/11,2010-10-16,,6,15,1,2,A,1,1,D
1,1,B1,10/11,2010-10-16,,9,23,6,0,H,4,0,H
1,1,B1,10/11,2010-10-16,,11,13,2,0,H,0,0,D
1,1,B1,10/11,2010-10-16,,12,14,1,1,D,1,1,D
1,1,B1,10/11,2010-10-16,,28,16,1,1,D,1,1,D
1,1,B1,10/11,2010-10-17,,5,1,1,0,H,0,0,D
1,1,B1,10/11,2010-10-17,,10,25,4,2,H,3,1,H
1,1,B1,10/11,2010-10-22,,13,10,1,0,H,0,0,D
1,1,B1,10/11,2010-10-23,,5,9,2,1,H,0,0,D
1,1,B1,10/11,2010-10-23,,14,27,0,0,D,0,0,D
1,1,B1,10/11,2010-10-23,,16,12,5,1,H,1,0,H
1,1,B1,10/11,2010-10-23,,23,6,3,2,H,1,0,H
1,1,B1,10/11,2010-10-24,,1,28,2,0,H,1,0,H
1,1,B1,10/11,2010-10-24,,15,7,1,0,H,1,0,H
1,1,B1,10/11,2010-10-24,,25,11,2,1,H,1,0,H
1,1,B1,10/11,2010-10-29,,6,13,0,0,D,0,0,D
1,1,B1,10/11,2010-10-30,,9,14,2,2,D,1,2,A
1,1,B1,10/11,2010-10-30,,11,16,3,1,H,1,0,H
1,1,B1,10/11,2010-10-30,,12,23,0,0,D,0,0,D
1,1,B1,10/11,2010-10-30,,27,15,1,1,D,0,1,A
1,1,B1,10/11,2010-10-30,,28,5,2,1,H,0,0,D
1,1,B1,10/11,2010-10-31,,7,25,2,2,D,1,1,D
1,1,B1,10/11,2010-10-31,,10,1,1,2,A,1,1,D
1,1,B1,10/11,2010-05-11,,28,10,1,1,D,1,0,H
1,1,B1,10/11,2010-06-11,,13,12,4,0,H,2,0,H
1,1,B1,10/11,2010-06-11,,14,15,2,2,D,2,0,H
1,1,B1,10/11,2010-06-11,,16,6,2,0,H,0,0,D
1,1,B1,10/11,2010-06-11,,23,27,0,3,A,0,2,A
1,1,B1,10/11,2010-06-11,,25,9,1,3,A,0,2,A
1,1,B1,10/11,2010-07-11,,1,7,2,2,D,2,2,D
1,1,B1,10/11,2010-07-11,,5,11,0,1,A,0,0,D
1,1,B1,10/11,2010-11-13,,6,28,0,1,A,0,0,D
1,1,B1,10/11,2010-11-13,,7,14,2,0,H,1,0,H
1,1,B1,10/11,2010-11-13,,10,5,3,0,H,1,0,H
1,1,B1,10/11,2010-11-13,,12,25,0,1,A,0,0,D
1,1,B1,10/11,2010-11-13,,15,23,3,0,H,2,0,H
1,1,B1,10/11,2010-11-14,,11,1,1,2,A,0,0,D
1,1,B1,10/11,2010-11-14,,27,13,1,1,D,0,0,D
1,1,B1,10/11,2010-11-20,,6,10,1,3,A,0,2,A
1,1,B1,10/11,2010-11-20,,9,13,3,1,H,1,1,D
